Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Tiny_URL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
0,0,28,2,0,0,0,0,0,4,5903,5903,0,0,0,0,0
0,0,43,4,1,0,0,0,0,4,4153,4153,0,0,0,0,0
0,0,27,3,1,0,0,0,0,4,4764,4764,0,0,0,0,0
0,0,101,7,1,0,0,0,0,7,9744,9744,0,0,0,0,0
0,0,60,3,0,0,0,0,0,4,3163,3163,0,0,0,0,0
0,0,38,3,1,0,0,0,0,4,-1,-1,0,0,0,0,0
0,0,137,4,0,0,0,0,0,5,4162,4162,0,0,0,0,0
0,0,28,3,0,0,0,0,0,3,5890,5890,0,0,0,0,0
0,0,49,3,1,0,0,0,0,5,8046,8046,0,0,0,0,0
0,0,29,2,1,0,0,0,0,2,-1,-1,0,0,0,0,0
1,0,83,4,0,0,0,0,0,7,4549,4549,0,0,0,0,0
1,0,33,3,2,0,0,0,0,8,8969,8969,0,0,0,0,0
0,0,40,4,1,0,0,0,0,6,9205,9205,0,0,0,0,0
0,0,56,5,0,0,0,1,0,5,8697,8697,0,0,0,0,0
0,0,27,3,0,0,0,0,0,2,3873,3873,0,0,0,0,0
0,0,70,3,1,0,1,0,0,3,4821,4821,0,0,0,0,0
0,0,33,4,0,0,0,0,0,10,8517,8517,0,0,0,0,0
0,0,52,4,0,0,0,0,0,7,3118,3118,0,0,0,0,0
0,0,31,3,0,0,0,0,0,5,7318,7318,0,0,0,0,0
0,0,33,3,0,0,0,0,0,2,6022,6022,0,0,0,0,0
0,0,66,5,0,0,0,1,0,1,3346,3346,0,0,0,0,0
0,0,85,7,0,0,0,0,0,6,5409,5409,0,0,0,0,0
0,0,52,4,0,0,0,0,0,7,7129,7129,0,0,0,0,0
0,0,109,4,0,0,0,0,0,5,4300,4300,0,0,0,0,0
0,0,84,4,1,0,0,0,0,4,2785,2785,0,0,0,0,0
0,0,17,3,0,0,0,0,0,3,-1,-1,0,0,0,0,0
0,0,19,2,0,0,0,0,0,2,7557,7557,0,0,0,0,0
0,0,28,2,0,0,0,0,0,4,-1,-1,0,0,0,0,0
0,0,40,4,0,0,0,0,0,7,7133,7133,0,0,0,0,0
0,0,21,2,0,0,0,0,0,1,4924,4924,0,0,0,0,0
0,0,53,6,0,0,0,0,0,5,11205,11205,0,0,0,0,0
0,0,27,3,0,0,0,0,0,3,-1,-1,0,0,0,0,0
0,0,79,4,2,0,0,0,0,4,4133,4133,0,0,0,0,0
0,0,35,5,0,0,0,0,0,2,7169,7169,0,0,0,0,0
0,0,56,3,0,0,0,0,0,5,6842,6842,0,0,0,0,0
0,0,49,5,0,0,0,0,0,5,7705,7705,0,0,0,0,0
0,0,41,4,1,0,0,0,0,5,6769,6769,0,0,0,0,0
0,0,29,3,0,0,0,0,0,5,8309,8309,0,0,0,0,0
0,0,21,3,0,0,0,0,0,3,-1,-1,0,0,0,0,0
0,0,35,3,0,0,0,0,0,5,5572,5572,0,0,0,0,0
0,0,28,3,0,0,0,0,0,3,-1,-1,0,0,0,0,0
0,0,63,4,1,0,0,1,0,4,8176,8176,0,0,0,0,0
0,0,24,2,0,0,0,0,0,2,3086,3086,0,0,0,0,0
0,0,29,2,0,0,0,0,0,4,5904,5904,0,0,0,0,0
0,0,45,3,1,0,0,0,0,6,6260,6260,0,0,0,0,0
0,0,33,3,1,0,0,0,0,4,-1,-1,0,0,0,0,0
0,0,31,3,0,0,0,0,0,4,6749,6749,0,0,0,0,0
0,0,27,3,0,0,0,1,0,3,-1,-1,0,0,0,0,0
1,0,58,3,0,0,0,0,0,6,7913,7913,0,0,0,0,0
0,0,28,3,0,0,1,0,0,5,7296,7296,0,0,0,0,0
0,0,25,3,0,0,0,0,0,5,2568,2568,0,0,0,0,0
0,0,28,3,0,0,0,0,0,7,5230,5230,0,0,0,0,0
0,0,133,8,1,0,0,0,0,6,5956,5956,0,0,0,0,0
0,0,26,3,0,0,0,0,0,4,-1,-1,0,0,0,0,0
0,0,33,3,0,0,0,0,0,4,4893,4893,0,0,0,0,0
0,0,47,3,1,0,0,0,0,6,5886,5886,0,0,0,0,0
